NestID,EggLetter,YEAR,TYPE,FEMID,MALEID,CLTCHSIZ,SAMDOY,LAYDOY,AGEATSAM,ESTORD,KNOWNORD,MASS,LENGTH,WIDTH,VOLUME,YOLKMAS,ALBMAS,SHELMAS,MEANSTR,KIT,NOTESLP,NOTESPE,SampleID,Carot_conc_ugml,Carot_ug_g,Carot_ug_yolk,T_concentration,Yolk_sample_mass,Tng_yolkg,Tng_yolkmg,YolkTug,FDOY,AGE,ECTO,BMASS,TARSUS,CONDIT,MEANYAS,h.theta.fem,h.phi.fem,r.vec.fem,lum.fem,fem.scaled.mass,h.theta.egg,h.phi.egg,r.vec.egg,r.max.egg,r.achieved.egg,lum.egg,THICKNESS
PE12,B,2008,EXP,601,613,4,119,117.5,1.5,3.5,,6.39,2.8545,2.1025,6.359640886,1.522,3.879,0.576,210.33,PE,,,PE12_B_N,3.973,75.676,115.178,3.72,0.51,5.69619,0.00569619,,119,6,0,84,37,-0.9787348,2.5,0.283220981,-0.941312702,0.256958379,0.195819884,89.60715228,2.377497335,-1.239047512,0.149143061,0.264417578,0.564043668,0.314943402,0.13
PE16,A,2008,EXP,49273,,4,124,120,4,1,1,6.69,3.1025,2.1505,7.23138061,1.059,4.216,0.624,232.67,LP,,,PE16_1_N,3.784,75.676,80.141,,,,,,124,6,0,89.7,36.8,-1.4558461,4.5,0.339333518,-0.957671428,0.254038895,0.286442132,96.67813254,2.548481406,-1.159428189,0.16866854,0.272754664,0.618389208,0.240068943,0.13
PE29,A,2008,EXP,618,,4,130,127,3,3,,7.45,3.097,2.1715,7.360230396,1.658,3.968,0.692,197,PE,,,,,,,,,,,,130,5,0,89.2,37.1,-1.1315381,3.5,0.35612322,-0.887303821,0.269243624,0.22736128,94.66753991,2.339505476,-1.239706042,0.153545009,0.264357666,0.580822985,0.321796557,0.13
PE29,B,2008,EXP,618,,4,130,125.5,4.5,1.5,,6.85,3.2045,2.0705,6.923748468,2.417,2.905,0.635,222.5,PE,,,,,,,,,,,,130,5,0,89.2,37.1,-1.1315381,3.5,0.35612322,-0.887303821,0.269243624,0.22736128,94.66753991,2.230593806,-1.300363969,0.142275764,0.259428815,0.548419279,0.389088965,0.13
PE45,B,2008,CONT,607,,3,146,141,5,1.5,,7.05,2.833,2.1955,6.88246472,,,,,PE,addled,,,,,,,,,,,124,1,0,98.2,38.1,-0.5690821,5,0.331509845,-0.865834007,0.278154787,0.22468325,99.08335403,2.436892116,-1.206840738,0.152392169,0.267523869,0.569639523,0.265340998,0.13
SR01,C,2009,EXP,879,,4,112,112,0,1,,5.53,2.778,2.026,7.378904489,1.078,3.405,0.56,,LP,clean - bit irrigation?,,SR01_C_N,5.486,115.505,124.514,5.56,0.51,8.5068,0.0085068,9.1703304,115,6,1,86.6,37.5,-0.6051364,4,0.277974517,-0.93666287,0.258434106,0.224158506,90.05444388,2.497569955,-1.213272154,0.143640676,0.266875577,0.538230878,0.228952871,0.13
EM08,D,2009,EXP,881,,4,118,118,0,4,4,5.95,2.958,2.2935,7.841988391,1.07,3.7,0.78,,LP,clean,,EM08_4_N,5.446,108.919,116.543,21.92,0.52,34.19208,0.03419208,36.5855256,120,5,1,97.47,39.1,0.46640754,2,0.220232564,-0.95279244,0.259469865,0.156363576,93.62283595,2.532330434,-1.187502493,0.155437842,0.269559842,0.576635752,0.239167532,0.14
LP02,B,2008,EXP,49268,,4,120,118.5,1.5,3.5,,6.85,3.0525,2.164,7.20444818,,,,,LP,"component weights may be off, lost a bit in recovery",done in field + first attempt = not ideal,,,,,,,,,,,,,,,,,,,,,,2.37056899,-1.286738567,0.135242786,0.260436703,0.519292344,0.32248925,0.14
EM18,D,2009,STD,,,4,121,121,0,4,4,7.19,3.068,2.2395,7.755111124,1.494,,0.702,,LP,,,EM18_4_N,3.081,61.622,92.063,,,,,,,,,,,,,,,,,,2.456324184,-1.196859069,0.160080689,0.268558363,0.596074116,0.203826019,0.15
FC22,B,2008,CONT,645,719,2,162,157,5,2,2,7.06,2.9225,2.218,7.246163681,,,,,PE,,,,,,,,,,,,143,5,0,87.8,40.4,2.23652434,3.5,0.306089292,-0.89993803,0.268939227,0.173677284,79.25315999,2.172735666,-1.31313367,0.139908841,0.258534689,0.541160807,0.340964517,0.15
PE21,D,2008,CONT,606,,4,123,122.5,0.5,4,,5.54,2.5275,1.9665,4.926172349,0.958,2.019,1.779,167,PE,small crack,,PE21_D_N,3.149,59.974,57.455,,,,,,123,1,2,95.8,40.3,1.74759628,3,0.321243288,-0.817067764,0.28606158,0.110270951,86.88255555,2.41618517,-1.243476177,0.144963656,0.264017387,0.549068596,0.301667256,0.15
